German;English;Spanish;French;Italian;Polish;Portuguese
OVHcloud Kundencenter;OVHcloud Control Panel;área de cliente de OVHcloud;espace client OVHcloud;Spazio Cliente OVHcloud;Panel klienta OVHcloud;área de cliente OVHcloud
Zerto;Zerto;Zerto;Zerto;Zerto;Zerto;Zerto
Nutanix on OVHcloud;Nutanix on OVHcloud;Nutanix on OVHcloud;Nutanix on OVHcloud;Nutanix on OVHcloud;Nutanix on OVHcloud;Nutanix on OVHcloud
Performance 4;Performance 4;Performance 4;Performance 4;Performance 4;Performance 4;Perf 4
Analytics Manager;Analytics Manager;Analytics Manager;Analytics Manager;Analytics Manager;Analytics Manager;Analytics Manager
Quota- und Regionmanagement;Quota and Region Management;Quota and Region Management;Quota and region management;Quota and Region Management;Quota and Region Management;Quota and Region Management
Boost;Boost;Boost;Boost;Boost;Boost;Boost
CDN;CDN;CDN;CDN;CDN;CDN;CDN
;water cooling;;watercooling;;;
Private Exchange;Private Exchange;Private Exchange;Private Exchange;Private Exchange;Private Exchange;Private Exchange
;retrieval-augmented generation;;génération augmentée par récupération;;;
;Special Terms and Conditions;;Conditions Particulières;;;
Classic Block Storage;Classic Block Storage;Classic;Classic Block Storage;Classic;Classic Block Storage;Classic Block Storage
Kafka;Kafka;Kafka;Kafka;Kafka;Kafka;Kafka
SAP HANA on Private Cloud;SAP HANA on Private Cloud;SAP HANA on Private Cloud;SAP HANA on Private Cloud;SAP HANA on Private Cloud;SAP HANA on Private Cloud;SAP HANA on Private Cloud
GPU;GPU;GPU;GPU;GPU;GPU;GPU
Cloud Disk Array;Cloud Disk Array;Cloud Disk Array;Cloud Disk Array;Cloud Disk Array;Cloud Disk Array;Cloud Disk Array
Elite;Elite;Elite;Elite;Elite;Elite;Elite
;;;Availability Zone;;Availability Zone;
Environmental Impact Tracker;Environmental Impact Tracker;Environmental Impact Tracker;Environmental Impact Tracker;Environmental Impact Tracker;Environmental Impact Tracker;Environmental Impact Tracker
OVHcloud Partner Program;OVHcloud Partner Program;OVHcloud Partner Program;OVHcloud Partner program;OVHcloud Partner Program;OVHcloud Partner Program;OVHcloud Partner program
;;;Réseau et sécurité;;Sieć i bezpieczeństwo;
;Email solutions;Soluciones de correo;Solutions e-mail;Soluzioni email;Rozwiązania poczty elektronicznej;Soluções de e-mail
Standard Support;Standard Support;Soporte Standard;Support Standard;Supporto Standard;Standard;Suporte Standard
Veeam Managed Backup;Veeam Managed Backup;Veeam Managed Backup;Veeam Managed Backup;Veeam Managed Backup;Veeam Backup Managed;Veeam Managed Backup
